SMILES,Atomization_Energy_eV,Bandgap_Bulk_eV,Bandgap_Chain_eV
*NC(=O)C(=S)C(*)=O,-6.35,1.4363,1.0075
*C=Cc1sc(*)c2c1OC(CCCCCC)CO2,,,1.0146
*c1sc(-c2sc(-c3sc(*)c4nccnc34)c3c2OCCO3)c2c1OCCO2,,,1.0217
*C(c1cccs1)=c1ccc(=c2ccc(=C(c3cccs3)c3ccc(-c4ccc(*)s4)s3)s2)s1,,,1.0381
*NC(=S)c1ccc(C(*)=S)cc1,,,1.0444
*C1=CC2=CC(*)=NC2=N1,,,1.0627
*C=C(*)c1ccc(C(=O)Oc2c(F)c(F)c(F)c(F)c2F)cc1,,,1.1102
*C#CC=C*,,,1.1342
*c1sc(-c2cc(OCCCCC)c(*)s2)cc1OCCCCC,,,1.2005
*CC(*)C(=O)n1sc2ccccc2c1=O,,,1.2252
*c1cc2c(s1)-c1sc(-c3sc(-c4sc(*)c5c4OCCO5)c4c3OCCO4)cc1C2=O,,,1.2584
*C=Cc1ccc(*)n1CCCCCCCCCCCC,,,1.2671
*c1ccc(C(=O)Nc2ccc(-c3ccc(NC(=O)c4ccc(-n5c(=O)c6sc7c(=O)n(*)c(=O)c7sc6c5=O)cc4)cc3)cc2)cc1,,,1.2847
*C1=CC2=NC(*)=CC2=N1,,,1.3051
*c1cc2c(s1)-c1sc(*)cc1C2=C1c2ccsc2-c2sccc21,,,1.3371
*C=C(*)c1ccccc1C(F)(F)F,,,1.343
*C1=C(CCCCCC)C(CCCCCC)=C(c2sc(-c3sc(*)c4c3OCCO4)c3c2OCCO3)S1(=O)=O,,,1.3792
*c1cc(CCN(CC)c2ccc(N=Nc3ccc(C=C(C#N)C#N)cc3)cc2)c(*)s1,,,1.3795
*C=CC1CC(*)C(=O)C1=O,,,1.3796
*c1ccc(-c2ccc(-c3sc(*)c4c3OCCO4)s2)s1,,,1.3916
*C=C*,,0.9567,1.3994
*C([CH3])=C(*)[CH3],,0.6605,1.4005
*Oc1ccc2nc3oc4cc5oc6c7c(cn6ccc5on4cnc3c12)nc1c(*)ccccc17,,,1.4158
*c1cc2c(s1)-c1sc(*)cc1C2=O,,,1.4351
*C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccc(-c4ccc(*)s4)s3)s2)s1,,,1.4486
*CC(*)c1ccc(Cl)c([CH3](=O)[CH3])c1,,,1.4833
*c1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(-n4c(=O)c5sc6c(=O)n(*)c(=O)c6sc5c4=O)cc3)cc2)cc1,,,1.4889
*C(=S)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,-6.13,0.75,1.4924
*c1cc(SCCCCCCCCCCCC)c(*)s1,,,1.5021
*N=Cc1ccc(C=Nc2sc(*)c(C#N)c2C#N)cc1,,,1.5066
*C=Cc1ccc(*)n1CCCCCC,,1.3683,1.5103
*C#CC(CO)=C(*)n1c2ccccc2c2ccccc21,,,1.5113
*c1cc(-c2cc(C)c(Br)cc2C)c(*)s1,,,1.5132
*c1sc(-c2cc(CCCCCCCCCC)c(*)s2)cc1CCCCCCCCCC,,,1.5226
*C=Cc1ccc(*)n1C,,,1.53
*CC(=S)C(=O)C(*)=S,-5.79,0.725,1.5344
*c1ccc(-c2ccn3sc4nc5nc6oc7nc8cc(*)ccc8nc7nc6cc5oc4cc3[CH3]c2)cc1,,,1.535
*CC(=S)c1ccc(C(*)=S)cc1,-5.91,1.4834,1.5353
*c1ccc(-c2cc(CCCCCCCCCCCC)c(*)s2)s1,,,1.5458
*c1cc2c(s1)-c1sc(-c3cc4c(s3)-c3sc(*)cc3C4(CC(CC)CCCC)CC(CC)CCCC)cc1C2=O,,,1.5473
*c1ccc(-c2cc(CCCCCCCCCCC)c(*)s2)s1,,,1.5503
*C#CC#Cc1ccc(*)s1,,,1.5604
*c1ccc(-c2cc(-c3ccc(CCCCCCCC)cc3)c(*)s2)s1,,,1.5651
*C=CC(C)=C(C)C=Cc1ccc(-c2ccc(*)s2)s1,,,1.5733
*C#Cc1cc(CCCCCC)c(*)s1,,,1.5751
*CC(*)C(=O)c1ccc(Br)cc1,,,1.5897
*C#CC#Cc1ccc(-c2ccc(*)s2)s1,,,1.5899
*c1sc(*)c(CCCCCCN(CC)c2ccccc2)c1CCCCCC,,,1.59
*c1ccc(-c2ccc(*)s2)s1,-6.18,0.9894,1.5925
*c1cc(SC)c(*)s1,,,1.5945
*c1cc(OCCOC)c(*)s1,,,1.6015
*c1cc(OCCCCCCC)c(*)s1,,,1.6057
*c1sc(-c2cc(SCC(C)CC)c(*)s2)cc1SCC(C)CC,,,1.6105
*c1ccc(N(c2ccc(C#N)cc2)c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,,1.6108
*c1sc(-c2sc(-c3sc(*)c4nccnc34)c3c2OC(CCCCCC)CO3)c2c1OCC(CCCCCC)O2,,,1.6167
*c1cc(SCCCCCC)c(*)s1,,,1.6201
*c1ccc(*)s1,-6.18,,1.6203
*CC(*)n1ccc2ccccc21,,,1.6204
*c1sc(*)c(OCCOCCCC)c1C,,,1.6261
*CC(*)c1ccc(C=O)cc1,,,1.6275
*c1sc(-c2cc(CCCCCC)c(*)s2)cc1CCCCCC,,,1.6319
*N=CC(C)=CC=CC=C(C)C=Nc1nc(-c2csc(*)n2)cs1,,,1.6324
*c1sc(*)c([CH3])c1[CH3],,,1.6361
*c1cc(OCCOCCOC)c(*)s1,,,1.6389
*c1ccc(C(=O)Nc2ccc(Oc3ccc(NC(=O)c4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3)cc2)cc1,,,1.639
*C#Cc1ccc(*)s1,,,1.6499
*c1ccc(-c2ccc(-c3ccc(*)s3)s2)o1,,,1.6557
*Nc1ccc(C(=S)c2ccc(*)s2)s1,-6,1.9993,1.6616
*c1ccc(-c2ccc(-c3ccc(*)s3)o2)o1,,,1.6749
*C=Cc1ccc(*)c2occc12,,,1.6799
*c1cc(C#N)c(*)s1,,1.0894,1.691
*c1cc(-c2cc(CCCCCCCC)ccc2CCCCCCCC)c(*)s1,,,1.6967
*N=C1c2ccccc2C(=Nc2ccc(*)cc2)c2ccccc21,,,1.6985
*C=Cc1cc(OC)c(C=Cc2ccc(*)s2)cc1OC,,,1.7107
*C=Cc1cc(CCCCCC)c(-c2sc(*)cc2CCCCCC)s1,,,1.7165
*c1cc(COCCOCCOC)c(-c2cc(CCCCCCCCCCCC)c(*)s2)s1,,,1.7176
*C#Cc1sc(-c2sc(*)c3c2OCCO3)c2c1OCCO2,,,1.7209
*CC(*)C(=O)c1ccccc1O,,,1.7298
*C#CC#Cc1cc2sc(*)cc2s1,,,1.7355
*c1sc(*)c2c1OCCO2,,,1.7526
*N=Nc1ccc(*)cc1,,,1.7643
*CC(*)c1cccs1,,,1.7879
*C1=CC=C(c2sc(-c3sc(*)c4c3OCCO4)c3c2OCCO3)S1(=O)=O,,,1.7929
*CC(*)OC(=O)c1cccc(Cl)c1,,,1.7974
*c1ccc(*)o1,,,1.8355
*c1sc(*)c2ccccc12,,,1.8359
*C=NN=Cc1cc(CCCCCCCCCCCC)c(*)s1,,,1.846
*c1cc2sc3cc(*)sc3c2s1,,,1.8464
*NC(=O)C(=S)c1ccc(*)s1,-6.16,0.9512,1.8546
*c1ccc(Oc2cccc3c(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cccc23)cc1,,,1.8659
*c1cc(-c2sc(-c3cc(C)c(*)s3)cc2C)c2cccccc1-2,,1.3327,1.8668
*c1nc(CCCCCC)c(-c2sc(*)nc2CCCCCC)s1,,,1.876
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N(c3ccc(C#N)cc3)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,,,1.8778
*c1cc2sc(*)cc2s1,,,1.8963
*c1cnc(*)s1,,,1.8999
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(-c6ncc(*)s6)c(=O)c5cc4c3=O)cc2)cc1,,,1.9001
*c1ccc(Oc2ccc(-n3c(=O)c4c(Oc5ccc(OCCCC)cc5)c5c(=O)n(*)c(=O)c5c(Oc5ccc(OCCCC)cc5)c4c3=O)cc2)cc1,,,1.9028
*c1ccc(-c2cc(CCCCCCBr)c(*)s2)s1,,,1.9133
*c1ccc(-c2cc(CCCCCCCCCF)c(*)s2)s1,,,1.9235
*C=Cc1ccc(*)nc1,,,1.9268
*c1ccc(-c2ccc(-c3ccc(*)n3C)o2)s1,,,1.929
*c1sc(*)c2c1OCC(CCCCCCCCCCCC)O2,,,1.9291
*c1cc(C)c(*)s1,,,1.9299
*C=Cc1cc(OC)c(*)cc1Br,,,1.9302
*C1=C2OCCOC2=C(c2ccc(-c3ccc(*)s3)s2)S1(=O)=O,,,1.9368
*c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,,,1.937
*C=Nc1ccc(N=Cc2ccc(-c3ccc(*)o3)o2)cc1,,,1.9396
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,-6.27,1.2608,1.9407
*NC1=CC(=O)C(*)=CC1=O,,,1.9466
*c1ccc(Oc2ccc(-n3c(=O)c4c(Oc5ccc(OC)cc5)c5c(=O)n(*)c(=O)c5c(Oc5ccc(OC)cc5)c4c3=O)cc2)cc1,,,1.9559
*c1ccc(-c2ccc3nc4oc5cc6[CH3]c7nc8cc(*)ccc8nc7[CH3]c6nc5n-4ccc3c2)cc1,,,1.9579
*c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)cc2C(C)(C)C)cc1,,,1.9644
*C=Cc1ccc(C=Cc2nc3cc4[CH3]c(*)nc4cc3[CH3]2)cc1,,,1.9717
*N=NNc1ccc(N=NNc2ccc(*)cc2)cc1,,,1.9731
*c1ccc(-c2cc(CCCCCCOC(=O)COc3ccccc3)c(*)s2)s1,,,1.9751
*c1cc(-c2sc(-c3cc(CCCC)c(*)s3)cc2CCCC)c2cccccc1-2,,,1.9772
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(c5ncc(*)s5)C6=O)cc4C3=O)cc2)cc1,,,1.9774
*CCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(*)C5=O,,,1.9902
*C=Cc1ccc(-c2ccc(*)s2)s1,,,1.9942
*c1ccc(-c2ccc(-c3cc(OCCCCCCCCCCCC)c(*)s3)s2)s1,,,1.9946
*C=C(*)c1cc(C(F)(F)F)oc1C(F)(F)F,,,1.9958
*CC(=O)C(=S)C(*)=O,-6.06,1.4812,1.9995
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)s2)cc1,-6.24,1.1128,2.0066
*CC(=O)Nc1ccc(Oc2cccc(NC(=O)CN3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)cc1,,,2.0094
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,-6.22,1.6466,2.0098
*CC(*)c1cc(O)ccc1O,,,2.0107
*C1=C2OCCOC2=C(c2sc(-c3sc(*)c4c3OCCO4)c3c2OCCO3)S1(=O)=O,,,2.0121
*CC(O)CN(*)c1ccc(N=Nc2ccc(C#N)cc2)cc1,,,2.0164
*Nc1ccc(-c2ccc(C(*)=S)s2)s1,-6.05,1.9074,2.0192
*CCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(*)C5=O,,,2.0224
*C(=S)C(=O)C(F)(F)C(*)(F)F,-5.51,1.5715,2.0268
*c1cc(CCOc2ccc(N=Nc3ccc(C#N)cc3)cc2)c(*)s1,,,2.0292
*c1cc(C=NC(=S)Nc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)ccc1Cl,,,2.0293
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,-6.16,1.1979,2.0314
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,,,2.0335
*Nc1ccc(C=Cc2ccc(N=C(c3ccc(C(*)=C(C#N)C#N)cc3)C(C#N)C#N)cc2)cc1,,,2.0414
*c1ccc(Oc2ccc(-n3c(=O)c4c(F)c5c(=O)n(*)c(=O)c5c(F)c4c3=O)cc2)cc1,,,2.0451
*c1ccc(N(c2ccc(C#N)cc2)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,,,2.0474
*C#CC#Cc1ccc(*)cc1,,,2.0489
*CC(*)c1ccc(F)cc1,,,2.0489
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C=Cc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,,,2.0593
*c1ccc(Oc2cc3ccccc3cc2Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,,2.0632
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,-6.19,,2.0759
*c1ccc(-c2ccc(-c3cc(*)c4cccccc3-4)s2)s1,,,2.0762
*c1ccc(-c2ccc(C(=S)c3ccc(*)s3)s2)cc1,-6.22,1.0659,2.0866
*c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)cc2)cc1,,,2.0871
*c1ccc(*)n1CCC(=O)OC(C)C(=O)OCC,,2.05,2.0885
*Cc1ccc(C[CH3]2ccc(-c3cc[CH3](*)cc3)cc2)cc1,,,2.0993
*c1ccc(C(=S)c2ccc(-c3ccc(*)s3)s2)cc1,-6.22,,2.1031
*c1ccc(Oc2ccc3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3c2)cc1,,,2.1074
*Nc1ccc(-c2ccc(NC3=CC(=O)C(*)=CC3=O)cc2)cc1,,,2.1114
*Nc1ccc(C(=O)C(*)=S)s1,-6.15,1.4251,2.1167
*CC(=S)c1ccc(C(*)=S)s1,-5.78,1.6797,2.1188
*c1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3)cc2)cc1,,,2.1293
*c1ccc2c(c1)Cc1cc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)ccc1-2,,,2.1333
*N=Nc1ccc(-c2ccc(*)c(C)c2)cc1C,,,2.1369
*c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(*)n5CCCCCCCCCCCC)s4)s3)s2)s1,,,2.1419
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)n4CCCCCCCCCCCC)s3)s2)s1,,2.1442,2.1465
*c1ccc(-c2ccc(-c3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)cc2)cc1,,,2.1515
*c1ccc(-n2c(=O)c3cc4c(=O)n(-n5c6ccc(*)cc6c6cccnc65)c(=O)c4cc3c2=O)cc1,,,2.1565
*NC(=S)c1ccc(C(*)=S)s1,-5.92,1.6122,2.1587
*Nc1ccc(*)c2cc3ccccc3cc12,,,2.1612
*c1ccc(Oc2ccccc2Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,,2.1614
*c1sc(*)c2c1OCC(CCCCS(=O)(=O)O)O2,,,2.1668
*c1ccc2c(c1)nc1c3cc4c(=O)n5c6cc(*)ccc6nc5c4cc3c(=O)n21,,,2.1718
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2-c2ccccc2)cc1,,,2.1739
*c1ccc(-c2ccc(-c3ccc(*)s3)s2)[CH3]1,,,2.182
*C(C)=C(C)c1ccc(-c2ccc(*)s2)s1,,,2.1828
*c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,,2.1894
*c1cc(-n2c(=O)c3cc4c(=O)n(-c5ccc(-c6nnc(*)n6N)cc5)c(=O)c4cc3c2=O)c(-c2c(Cl)cccc2Cl)s1,,,2.1911
*c1ccc(C2(c3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)c3ccccc3-c3ccccc32)cc1,,,2.1924
*N=C1C(=Nc2ccc(*)cc2)c2cccc3cccc1c23,,,2.1929
*Nc1ccc(Cc2ccc(NC(=O)c3cc(C(*)=O)cc(N4C(=O)C=CC4=O)c3)cc2)cc1,,2.0738,2.1937
*C=Cc1ccc(*)c2sccc12,,,2.1967
*c1cc(OCCOCCOC)c(-c2sc(*)c3c2OCCO3)s1,,,2.2046
*C=Cc1cc([CH3](C)(C)C)c(*)cc1[CH3](C)(C)C,,,2.2084
*C(=O)c1ccc(C(=O)C(*)=S)s1,-6.33,1.1902,2.2094
*C=C(*)c1ccsc1,,,2.2157
*c1cc(CC(=O)OCCN(CC)c2ccc(N=Nc3ccc([CH3](=O)[CH3])cc3)cc2)c(*)s1,,,2.2179
*c1ccc(-c2ccc(-c3nc(CCCCCCCCCCCC)c(-c4sc(*)nc4CCCCCCCCCCCC)s3)s2)s1,,,2.2184
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4[CH3]3)cc(N3C(=O)c4ccc(*)cc4C3=O)c1)C2=O,,,2.2203
*c1ccc(OCC2CCC(COc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)CC2)cc1,,,2.2219
*c1ccc2ccc3c(*)cc(C#CC#C[CH3](C)(C)C)c4ccc1c2c34,,,2.225
*c1nc2cc3[CH3]c(-c4ccc(*)o4)nc3cc2[CH3]1,,,2.2261
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cc(C(C)(C)C)c(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc3C(C)(C)C)cc1)C2=O,,,2.2297
*Nc1ccc(C(=O)c2ccc(*)s2)s1,-6.18,1.7108,2.2308
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)cc2)cc1,-6.3,,2.2403
*C1=CSC(=C2SC=C(c3ccc(*)cc3)S2)S1,,,2.2436
*c1ccc(-c2ccc(-c3sc(-c4cc(C(=O)CCCCCCCCCCCC)c(*)s4)cc3C(=O)OCCCCCCCCCCCC)s2)s1,,,2.2457
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,-6.09,1.5003,2.2573
*C=Cc1ccc(*)c(F)c1,,,2.259
*Nc1ccc(-c2ccc(C(*)=O)s2)s1,-6.22,1.9451,2.263
*CC(=O)Nc1ccc(Oc2ccc(NC(=O)CN3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,,,2.2667
*CC(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)CN4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,,,2.2729
*c1sc(*)c(OCCCC)c1C,,,2.2732
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc3c(c1)Cc1cc(N4C(=O)c5ccc(*)cc5C4=O)ccc1-3)C2=O,,,2.2777
*CCN1C(=O)C(=CC=C2SC(=S)N(*)C2=O)SC1=S,,,2.2801
*C#Cc1cc(OCCCCCCCC)c(C#Cc2ccc(*)s2)cc1OCCCCCCCC,,,2.283
*c1ccc(Oc2cc(C(C)(C)C)ccc2Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,,2.2831
*c1ccc2ccc3c(*)cc(C#CC=C)c4ccc1c2c34,,,2.2865
*c1ccc(N(c2ccc(C#N)cc2)c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,,,2.2981
*C=Cc1ccc(*)c2ccc(CCCCCC)cc12,,,2.3017
*CC(*)c1ccc(Cl)c(Cl)c1,,,2.3069
*CCN(CCOC(=O)C=Cc1ccc(C=CC(=O)O*)cc1)c1ccc(N=Nc2ccc([CH3](=O)[CH3])cc2)cc1,,,2.3089
*c1ccc(SSc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,,2.3111
*c1cccc(C(=O)Nc2ccc(NC(=O)c3cccc(N4C(=O)c5ccc(-c6cccc7c6C(=O)N(*)C7=O)cc5C4=O)c3)cc2)c1,,,2.3122
*Nc1ccc(C(=S)c2ccc(*)cc2)s1,-6.15,1.7781,2.3153
*Nc1ccc(NC(=O)c2cc(NC(=O)c3ccc(NC(=O)C(C)N4C(=O)c5ccccc5C4=O)cc3)cc(C(*)=O)c2)cc1C,,,2.319
*Nc1ccc(C(=S)c2ccc(*)cc2)cc1,-6.23,1.8785,2.322
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)s1,-6.29,1.9265,2.3241
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(-c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc3)cc1)C2=O,,,2.3242
*CC(*)c1c([CH3])c([CH3])c([CH3])c([CH3])c1[CH3],,,2.3297
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,-6.27,,2.3302
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,,,2.3311
*c1ccc(-c2ccc(-c3ccc(*)s3)s2)cn1,,,2.3342
*OC(=O)C(=S)C(*)=O,-6.47,1.4341,2.3358
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cc4ccccc4cc3Oc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,,,2.3398
*C(=O)Nc1ccc(NC(=O)c2ccc3[CH3]c(-c4cc(-c5nc6cc(*)ccc6[CH3]5)cc(N5C(=O)c6ccccc6C5=O)c4)nc3c2)cc1,,,2.3407
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)N(C)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,,,2.3425
*C(c1ccc(N(C)C)cc1)C(*)c1ccc([CH3](=O)[CH3])cc1,,,2.3431
*C=Cc1ccc(*)c2ccc(CCCCCCCCCCC)cc12,,,2.3432
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,-6.27,1.8996,2.3434
*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C(=O)N(C)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)c1)C2=O,,,2.3447
*CC(=O)Nc1ccc(Cc2ccc(NC(=O)CN3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,,,2.3456
*c1ccc(*)n1C(=O)OCC,,,2.3493
*C=Cc1cc(OCCCCCC)c(*)cc1OC,,,2.3505
*c1cc(CC)c(*)s1,,,2.3523
*c1ccc(Oc2cccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)c2)cc1,,,2.3531
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)cc1,-6.3,,2.3592
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc2)C3=O)cc1,,,2.3605
*c1cc(CCOC(=O)C(C)Br)c(*)s1,,,2.3659
*c1ccc2ccc3c(*)cc(C#C)c4ccc1c2c34,,,2.3686
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,-6.31,,2.3711
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,,,2.3733
*c1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc(Oc5ccc(-n6c(=O)c7cc8c(=O)n(*)c(=O)c8cc7c6=O)cc5)cc4)c3)cc2)cc1,,,2.3756
*NC(=O)c1ccc(C(*)=S)s1,-6.14,1.932,2.3774
*Nc1ccc(C(=O)C(*)=S)cc1,-6.27,1.7009,2.378
*c1cc(CCCCCCCCCCCC)c(-c2sc(*)c3c2OCCO3)s1,,,2.3785
*C(=S)OC(=S)c1ccc(*)s1,-5.95,1.7517,2.38
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccccc3Oc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,,,2.3823
