SMILES,Dielectric_Constant_Electronic,Dielectric_Constant_Ionic,Dielectric_Constant_Total
*CC(=S)C(=O)c1ccc(*)s1,3.87,0.684,4.56
*CCCc1ccc(*)s1,3.08,1.48,4.55
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,4.02,0.534,4.55
*Oc1ccc(OC(*)=S)s1,3.79,0.733,4.52
*COC(=S)N*,3.49,1.03,4.52
*CNc1ccc(-c2ccc(*)s2)s1,3.98,0.536,4.51
*CCNC(*)=S,3.47,1.02,4.5
*Oc1ccc(NC(*)=S)cc1,3.81,0.686,4.49
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.09,0.406,4.49
*CC(=O)NC(*)=S,3.71,0.777,4.48
*c1ccc(*)cc1,4.4,0.0791,4.48
*OCC(=S)c1ccc(*)cc1,3.95,0.529,4.48
*CC(=S)c1ccc(-c2ccc(*)cc2)cc1,4.2,0.267,4.47
*NC(=S)Cc1ccc(*)s1,3.93,0.536,4.46
*c1cccc(*)n1,3.98,0.481,4.46
*Nc1ccc(Cc2ccc(NC(*)=S)cc2)cc1,3.67,0.784,4.46
*C(=O)Nc1cccc(*)c1,3.85,0.605,4.45
*CNC(=S)c1ccc(*)s1,3.87,0.584,4.45
*COC(=S)O*,3.41,1.04,4.45
*CC(=S)OC(*)=S,3.81,0.633,4.44
*CC(=O)NC(*)=O,3.19,1.25,4.44
*NOc1ccc(-c2ccc(*)cc2)cc1,3.94,0.476,4.41
*C(=S)CCc1ccc(*)s1,4.02,0.381,4.4
*C(=O)CC(=O)c1ccc(*)s1,3.7,0.693,4.4
*CCc1ccc(C(*)=O)s1,3.52,0.859,4.38
*C(=O)NOc1ccc(*)cc1,3.66,0.708,4.37
*Oc1ccc(Nc2ccc(*)cc2)cc1,3.72,0.643,4.37
*Cc1ccc(C(=S)c2ccc(*)s2)s1,4.03,0.333,4.36
*CNc1ccc(-c2ccc(*)s2)cc1,3.82,0.536,4.35
*CCCNC(=S)Nc1ccc(NC(=S)NCCC*)cc1,3.49,0.862,4.35
*Nc1ccc(*)s1,3.79,0.549,4.34
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4,0.292,4.29
*NCNc1ccc(*)cc1,3.47,0.799,4.27
*OC(=O)Oc1ccc(*)s1,3.5,0.765,4.27
*C(=O)CC(=O)c1ccc(*)cc1,3.53,0.732,4.27
*C(=O)c1ccc(Oc2ccc(*)cc2)cc1,3.68,0.584,4.26
*ONOC(*)=O,3.06,1.2,4.25
*OC(=O)OC(*)=S,3.03,1.22,4.25
*CNc1ccc(-c2ccc(*)cc2)cc1,3.785,0.455,4.24
*CC(=S)Oc1ccc(*)s1,3.79,0.445,4.24
*Cc1ccc(C(=O)C(*)=S)cc1,3.78,0.441,4.22
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,4.07,0.15,4.22
*Cc1ccc(C(=O)O*)s1,3.45,0.751,4.2
*NCNc1ccc(*)s1,3.44,0.753,4.19
*OCNc1ccc(*)s1,3.42,0.768,4.19
*CNc1ccc(-c2ccc(*)cc2)s1,3.77,0.417,4.19
*COc1ccc(-c2ccc(*)s2)s1,3.82,0.364,4.18
*C(=S)c1ccc(Cc2ccc(C(=S)c3ccc(Cc4ccc(*)cc4)s3)cc2)s1,3.87,0.307,4.17
*CONO*,3.03,1.13,4.16
*Sc1ccc(*)cc1,3.92,0.236,4.16
*OCC(=O)c1ccc(*)cc1,3.47,0.681,4.16
*CNC(=O)c1ccc(*)cc1,3.3,0.851,4.15
*CNC(*)=O,3.01,1.14,4.15
*Oc1ccc(Nc2ccc(*)s2)cc1,3.64,0.509,4.15
*OCNc1ccc(*)cc1,3.39,0.747,4.14
*OC(=O)c1ccc(-c2ccc(*)cc2)cc1,3.62,0.516,4.14
*Nc1ccc(Oc2ccc(*)s2)s1,3.61,0.524,4.13
*ONOc1ccc(*)cc1,3.49,0.64,4.13
*CC(=S)Nc1ccc(*)cc1,3.67,0.446,4.12
*OCc1ccc(-c2ccc(*)s2)cc1,3.76,0.338,4.1
*C(=S)c1ccc(Cc2ccc(*)cc2)cc1,3.87,0.226,4.1
*Oc1ccc(OC(*)=S)cc1,3.53,0.555,4.09
*CC(=O)Nc1ccc(*)s1,3.53,0.555,4.08
*COC(=O)c1ccc(*)cc1,3.4,0.682,4.08
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,3.61,0.469,4.08
*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,3.63,0.445,4.07
*CNC(=O)c1ccc(*)s1,3.44,0.629,4.07
*c1ccc(OCc2ccc(*)s2)cc1,3.75,0.297,4.05
*CONc1ccc(*)s1,3.54,0.501,4.04
*CNC(=S)c1ccc(*)cc1,3.58,0.452,4.03
*OC(=O)Oc1ccc(*)cc1,3.2,0.823,4.02
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,3.91,0.11,4.02
*CNCc1ccc(*)s1,3.17,0.818,3.99
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,3.89,0.0979,3.99
*OCc1ccc(Cc2ccc(C(*)=S)cc2)cc1,3.58,0.404,3.99
*Nc1ccc(Cc2ccc(*)cc2)s1,3.59,0.396,3.98
*CC(=O)OC(*)=O,2.9,1.08,3.98
*CCc1ccc(*)cc1,3.87,0.106,3.98
*Cc1ccc(-c2ccc(O*)cc2)cc1,3.68,0.29,3.97
*COCC(*)=S,3.55,0.411,3.96
*CC(*)=S,3.74,0.215,3.96
*CC(=O)Nc1ccc(*)cc1,3.35,0.607,3.95
*C(=O)c1ccc(Cc2ccc(*)cc2)cc1,3.62,0.334,3.95
*OC(=O)Cc1ccc(*)s1,3.4,0.551,3.95
*CC(=S)CC(*)=O,3.3,0.646,3.95
*Oc1ccc(*)s1,3.49,0.458,3.94
*CC(=O)NO*,3.04,0.894,3.93
*Oc1ccc(*)cc1,3.48,0.4445,3.925
*c1ccc(-c2ccc(Cc3ccc(*)s3)s2)cc1,3.81,0.115,3.92
*Nc1ccc(Cc2ccc(*)cc2)cc1,3.56,0.356,3.92
*CCC(=S)c1ccc(*)cc1,3.68,0.231,3.91
*CC(=O)OC(*)=S,3.07,0.82,3.89
*CC(=S)ON*,3.47,0.395,3.87
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,3.62,0.245,3.87
*CC(*)=O,3.09,0.775,3.86
*NOCc1ccc(*)cc1,3.37,0.476,3.84
*CC(=S)CN*,3.57,0.261,3.83
*Cc1ccc(Nc2ccc(*)s2)s1,3.52,0.309,3.83
*COC(=O)c1ccc(C(=O)OC*)cc1,3.27,0.555,3.82
*OCOc1ccc(*)s1,3.19,0.632,3.82
*ONCc1ccc(*)s1,3.44,0.38,3.82
*Oc1ccc(Oc2ccc(*)s2)cc1,3.43,0.377,3.81
*Oc1ccc(CC(*)=S)cc1,3.525,0.2765,3.8
*C(=S)c1ccc(*)cc1,3.59,0.21,3.8
*COc1ccc(O*)cc1,3.2,0.596,3.8
*COc1ccc(-c2ccc(*)cc2)cc1,3.48,0.309,3.79
*CCNc1ccc(*)s1,3.31,0.477,3.78
*O[CH3]1[CH3](O)[CH3](O)[CH3](O[CH3]2[CH3](O)[CH3](O)[CH3](O[CH3]3[CH3](O)[CH3](O)[CH3](O[CH3]4[CH3](O)[CH3](O)[CH3](*)O[CH3]4CO)O[CH3]3CO)O[CH3]2CO)O[CH3]1CO,2.85,0.933,3.78
*Cc1ccc(-c2ccc(C*)s2)cc1,3.65,0.103,3.75
*COC(=O)O*,2.75,1,3.75
*OCCC(*)=S,3.32,0.428,3.75
*CCCCCOC(=O)Nc1cc(NC(=O)O*)ccc1C,2.97,0.776,3.75
*CCOCCOC(=O)Nc1cc(NC(=O)O*)ccc1C,3,0.731,3.73
*OCC(=O)OCC(*)=O,2.79,0.907,3.7
*CCCCC(=O)OCCOC(*)=O,2.75,0.931,3.68
*Cc1ccc(CC(*)=S)cc1,3.46,0.218,3.68
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,3.58,0.0893,3.67
*CCOC(=O)c1ccc(C(=O)OCC*)cc1,3.1,0.546,3.65
*ONCc1ccc(*)cc1,3.35,0.294,3.64
*Cc1ccc(Oc2ccc(*)s2)s1,3.38,0.257,3.64
*COCC(*)=O,2.86,0.766,3.63
*CC(=O)Cc1ccc(*)s1,3.24,0.375,3.61
*CCc1ccc(O*)s1,3.24,0.364,3.6
*Oc1ccc(Cc2ccc(*)cc2)s1,3.35,0.251,3.6
*CO*,2.725,0.858,3.585
*CC(=S)Cc1ccc(*)s1,3.41,0.173,3.58
*Cc1ccc(-c2ccc(C*)cc2)cc1,3.5,0.0743,3.58
*CCCCCCC(=O)OCCOC(*)=O,2.75,0.822,3.57
*CC(=O)Oc1ccc(*)cc1,3.02,0.552,3.57
*Cc1ccc(*)s1,3.38,0.182,3.56
*NCCc1ccc(*)cc1,3.17,0.363,3.54
*CC(=O)Cc1ccc(*)cc1,3.11,0.417,3.52
*CC(=O)CN*,2.96,0.566,3.52
*CNCO*,2.79,0.727,3.52
*CNON*,3.05,0.443,3.49
*Oc1ccc(Cc2ccc(*)cc2)cc1,3.25,0.229,3.48
*CCC(=O)O*,2.77,0.686,3.45
*Cc1ccc(CO*)cc1,3.16,0.295,3.45
*CCOc1ccc(*)cc1,3.19,0.257,3.45
*Cc1ccc(Cc2ccc(*)s2)cc1,3.3,0.112,3.41
*Cc1ccc(*)cc1,3.31,0.0951,3.41
*CNCc1ccc(*)cc1,3.15,0.209,3.36
*CCNO*,2.9,0.44,3.34
*CC(O*)C(F)(F)F,2.51,0.794,3.3
*CCCC(*)=S,3.13,0.167,3.3
*CN*,2.98,0.301,3.28
*CC(*)(F)F,2.54,0.724,3.26
*CC(*)C#N,2.73,0.501,3.23
*CC(*)F,2.66,0.563,3.22
*CCCC(*)=O,2.74,0.422,3.16
*CCO*,2.68,0.473,3.16
*CCCCCOC(*)=O,2.7,0.446,3.15
*CCCc1ccc(*)cc1,3.06,0.0751,3.13
*CCC(F)(F)C(*)(F)F,2.49,0.626,3.11
*CCC(O*)(C(F)(F)F)C(F)(F)F,2.47,0.617,3.09
*C(F)C(*)(F)F,2.5,0.581,3.08
*CC(*)c1ccccn1,2.93,0.137,3.06
*CCCCCCCCC(=O)O*,2.66,0.402,3.06
*CCNC*,2.81,0.202,3.02
*CCCSCC*,2.9,0.104,3.01
*CCCO*,2.72,0.265,2.98
*CC*,2.7,0.0228,2.72
*CC(*)c1ccccc1,2.64,0.0772,2.72
*CC(*)C,2.59,0.0247,2.61
,,,
